starting scheduler on Core : 0
Task C2 on 1, Pri = 3, Tick = 69917
Task C1 on 0, Pri = 2, Tick = 69920
Task C0 on 1, Pri = 1, Tick = 69923
Task C2 on 1, Pri = 3, Tick = 70420
Task C1 on 0, Pri = 2, Tick = 70423
Task C0 on 1, Pri = 1, Tick = 70426
Task C2 on 1, Pri = 3, Tick = 70923
Task C1 on 0, Pri = 2, Tick = 70926
Task C0 on 1, Pri = 1, Tick = 70929
Task C2 on 1, Pri = 3, Tick = 71426
Task C1 on 0, Pri = 2, Tick = 71429
Task C0 on 1, Pri = 1, Tick = 71432
Task C2 on 1, Pri = 3, Tick = 71929
Task C1 on 0, Pri = 2, Tick = 71932
Task C0 on 1, Pri = 1, Tick = 71935
Task C2 on 1, Pri = 3, Tick = 72432
Task C1 on 0, Pri = 2, Tick = 72435
Task C0 on 1, Pri = 1, Tick = 72438
Task C2 on 1, Pri = 3, Tick = 72935
Task C1 on 0, Pri = 2, Tick = 72938
Task C0 on 1, Pri = 1, Tick = 72941
Task C2 on 1, Pri = 3, Tick = 73438
Task C1 on 0, Pri = 2, Tick = 73441
Task C0 on 1, Pri = 1, Tick = 73444
Task C2 on 1, Pri = 3, Tick = 73941
Task C1 on 0, Pri = 2, Tick = 73944
Task C0 on 1, Pri = 1, Tick = 73947
Task C2 on 1, Pri = 3, Tick = 74444
Task C1 on 0, Pri = 2, Tick = 74447
Task C0 on 1, Pri = 1, Tick = 74450
Task C2 on 1, Pri = 3, Tick = 74947
Task C1 on 0, Pri = 2, Tick = 74950
Task C0 on 1, Pri = 1, Tick = 74953
Task C2 on 1, Pri = 3, Tick = 75450
Task C1 on 0, Pri = 2, Tick = 75453
Task C0 on 1, Pri = 1, Tick = 75456
Task C2 on 1, Pri = 3, Tick = 75953
Task C1 on 0, Pri = 2, Tick = 75956
Task C0 on 1, Pri = 1, Tick = 75959
Task C2 on 1, Pri = 3, Tick = 76456
Task C1 on 0, Pri = 2, Tick = 76459
Task C0 on 1, Pri = 1, Tick = 76462
Task C2 on 1, Pri = 3, Tick = 76959
Task C1 on 0, Pri = 2, Tick = 76962
Task C0 on 1, Pri = 1, Tick = 76965
Task C2 on 1, Pri = 3, Tick = 77462
Task C1 on 0, Pri = 2, Tick = 77465
Task C0 on 1, Pri = 1, Tick = 77468
Task C2 on 1, Pri = 3, Tick = 77965
Task C1 on 0, Pri = 2, Tick = 77968
Task C0 on 1, Pri = 1, Tick = 77971
Task C2 on 1, Pri = 3, Tick = 78468
Task C1 on 0, Pri = 2, Tick = 78471
Task C0 on 1, Pri = 1, Tick = 78474
Task C2 on 1, Pri = 3, Tick = 78971
Task C1 on 0, Pri = 2, Tick = 78974
Task C0 on 1, Pri = 1, Tick = 78977
Task C2 on 1, Pri = 3, Tick = 79474
Task C1 on 0, Pri = 2, Tick = 79477
Task C0 on 1, Pri = 1, Tick = 79480
Task C2 on 1, Pri = 3, Tick = 79977
Task C1 on 0, Pri = 2, Tick = 79980
Task C0 on 1, Pri = 1, Tick = 79983
Task C2 on 1, Pri = 3, Tick = 80480
Task C1 on 0, Pri = 2, Tick = 80483
Task C0 on 1, Pri = 1, Tick = 80486
Task C2 on 1, Pri = 3, Tick = 80983
Task C1 on 0, Pri = 2, Tick = 80986
Task C0 on 1, Pri = 1, Tick = 80989
Task C2 on 1, Pri = 3, Tick = 81486
Task C1 on 0, Pri = 2, Tick = 81489
Task C0 on 1, Pri = 1, Tick = 81492
Task C2 on 1, Pri = 3, Tick = 81989
Task C1 on 0, Pri = 2, Tick = 81992
Task C0 on 1, Pri = 1, Tick = 81995
Task C2 on 1, Pri = 3, Tick = 82492
Task C1 on 0, Pri = 2, Tick = 82495
Task C0 on 1, Pri = 1, Tick = 82498
Task C2 on 1, Pri = 3, Tick = 82995
Task C1 on 0, Pri = 2, Tick = 82998
Task C0 on 1, Pri = 1, Tick = 83001
Task C2 on 1, Pri = 3, Tick = 83498
Task C1 on 0, Pri = 2, Tick = 83501
Task C0 on 1, Pri = 1, Tick = 83504
Task C2 on 1, Pri = 3, Tick = 84001
Task C1 on 0, Pri = 2, Tick = 84004
Task C0 on 1, Pri = 1, Tick = 84007
Task C2 on 1, Pri = 3, Tick = 84504
Task C1 on 0, Pri = 2, Tick = 84507
Task C0 on 1, Pri = 1, Tick = 84510
Task C2 on 1, Pri = 3, Tick = 85007
Task C1 on 0, Pri = 2, Tick = 85010
Task C0 on 1, Pri = 1, Tick = 85013
Task C2 on 1, Pri = 3, Tick = 85510
Task C1 on 0, Pri = 2, Tick = 85513
Task C0 on 1, Pri = 1, Tick = 85516
Task C2 on 1, Pri = 3, Tick = 86013
Task C1 on 0, Pri = 2, Tick = 86016
Task C0 on 1, Pri = 1, Tick = 86019
Task C2 on 1, Pri = 3, Tick = 86516
Task C1 on 0, Pri = 2, Tick = 86519
Task C0 on 1, Pri = 1, Tick = 86522
Task C2 on 1, Pri = 3, Tick = 87019
Task C1 on 0, Pri = 2, Tick = 87022
Task C0 on 1, Pri = 1, Tick = 87025
Task C2 on 1, Pri = 3, Tick = 87522
Task C1 on 0, Pri = 2, Tick = 87525
Task C0 on 1, Pri = 1, Tick = 87528
Task C2 on 1, Pri = 3, Tick = 88025
Task C1 on 0, Pri = 2, Tick = 88028
Task C0 on 1, Pri = 1, Tick = 88031
Task C2 on 1, Pri = 3, Tick = 88528
Task C1 on 0, Pri = 2, Tick = 88531
Task C0 on 1, Pri = 1, Tick = 88534
Task C2 on 1, Pri = 3, Tick = 89031
Task C1 on 0, Pri = 2, Tick = 89034
Task C0 on 1, Pri = 1, Tick = 89037
Task C2 on 1, Pri = 3, Tick = 89534
Task C1 on 0, Pri = 2, Tick = 89537
Task C0 on 1, Pri = 1, Tick = 89540
Task C2 on 1, Pri = 3, Tick = 90037
Task C1 on 0, Pri = 2, Tick = 90040
Task C0 on 1, Pri = 1, Tick = 90043
Task C2 on 1, Pri = 3, Tick = 90540
Task C1 on 0, Pri = 2, Tick = 90543
Task C0 on 1, Pri = 1, Tick = 90546
Task C2 on 1, Pri = 3, Tick = 91043
Task C1 on 0, Pri = 2, Tick = 91046
Task C0 on 1, Pri = 1, Tick = 91049
Task C2 on 1, Pri = 3, Tick = 91546
Task C1 on 0, Pri = 2, Tick = 91549
Task C0 on 1, Pri = 1, Tick = 91552
Task C2 on 1, Pri = 3, Tick = 92049
Task C1 on 0, Pri = 2, Tick = 92052
Task C0 on 1, Pri = 1, Tick = 92055
Task C2 on 1, Pri = 3, Tick = 92552
Task C1 on 0, Pri = 2, Tick = 92555
Task C0 on 1, Pri = 1, Tick = 92558
Task C2 on 1, Pri = 3, Tick = 93055
Task C1 on 0, Pri = 2, Tick = 93058
Task C0 on 1, Pri = 1, Tick = 93061
Task C2 on 1, Pri = 3, Tick = 93558
Task C1 on 0, Pri = 2, Tick = 93561
Task C0 on 1, Pri = 1, Tick = 93564
Task C2 on 1, Pri = 3, Tick = 94061
Task C1 on 0, Pri = 2, Tick = 94064
Task C0 on 1, Pri = 1, Tick = 94067
Task C2 on 1, Pri = 3, Tick = 94564
Task C1 on 0, Pri = 2, Tick = 94567
Task C0 on 1, Pri = 1, Tick = 94570
Task C2 on 1, Pri = 3, Tick = 95067
Task C1 on 0, Pri = 2, Tick = 95070
Task C0 on 1, Pri = 1, Tick = 95073
Task C2 on 1, Pri = 3, Tick = 95570
Task C1 on 0, Pri = 2, Tick = 95573
Task C0 on 1, Pri = 1, Tick = 95576
